Datetime,breadth20,coverage20,ks_close,ks_ema5,ks_ema20
2024-05-10 11:00:00+09:00,0.5128205128205128,39.0,2725.10009765625,2727.605554562191,2724.3332474481726
2024-05-10 12:00:00+09:00,0.5128205128205128,39.0,2726.06005859375,2727.0903892393776,2724.497705652513
2024-05-10 13:00:00+09:00,0.5897435897435898,39.0,2728.719970703125,2727.6335830606267,2724.8998261335237
2024-05-10 14:00:00+09:00,0.5384615384615384,39.0,2726.639892578125,2727.302352899793,2725.0655467472952
2024-05-13 09:00:00+09:00,0.48717948717948717,39.0,2736.580078125,2730.394927974862,2726.162168783267
2024-05-13 10:00:00+09:00,0.41025641025641024,39.0,2719.8798828125,2726.8899129207416,2725.5638558336705
2024-05-13 11:00:00+09:00,0.38461538461538464,39.0,2720.4599609375,2724.7465955929947,2725.0777706054637
2024-05-13 12:00:00+09:00,0.41025641025641024,39.0,2719.27001953125,2722.92107023908,2724.5246514555383
2024-05-13 13:00:00+09:00,0.41025641025641024,39.0,2717.030029296875,2720.9573899250117,2723.8108779166178
2024-05-13 14:00:00+09:00,0.4358974358974359,39.0,2718.429931640625,2720.1149038302165,2723.2984068427136
2024-05-14 09:00:00+09:00,0.5384615384615384,39.0,2724.929931640625,2721.7199131003526,2723.4537901568006
2024-05-14 10:00:00+09:00,0.5384615384615384,39.0,2729.25,2724.229942066902,2724.005810141867
2024-05-14 11:00:00+09:00,0.46153846153846156,39.0,2725.3701171875,2724.6100004404348,2724.1357441462133
2024-05-14 12:00:00+09:00,0.38461538461538464,39.0,2724.530029296875,2724.583343392582,2724.173295112943
2024-05-14 13:00:00+09:00,0.48717948717948717,39.0,2728.159912109375,2725.775532964846,2724.552972922127
2024-05-14 14:00:00+09:00,0.5128205128205128,39.0,2731.820068359375,2727.790378096356,2725.245077249484
2024-05-16 09:00:00+09:00,0.9230769230769231,39.0,2770.530029296875,2742.036928496529,2729.557929825426
2024-05-16 10:00:00+09:00,0.6410256410256411,39.0,2753.85009765625,2745.9746515497695,2731.871469618838
2024-05-16 11:00:00+09:00,0.6666666666666666,39.0,2752.530029296875,2748.1597774654715,2733.8389514929368
2024-05-16 12:00:00+09:00,0.6153846153846154,39.0,2751.340087890625,2749.2198809405227,2735.5057263879544
2024-05-16 13:00:00+09:00,0.6666666666666666,39.0,2753.3798828125,2750.606548231182,2737.208026999816
2024-05-16 14:00:00+09:00,0.6410256410256411,39.0,2750.97998046875,2750.731025643705,2738.5196416159047
2024-05-17 09:00:00+09:00,0.48717948717948717,39.0,2743.5400390625,2748.3340301166368,2738.9977747060566
2024-05-17 10:00:00+09:00,0.4358974358974359,39.0,2732.110107421875,2742.9260558850497,2738.3418063932777
2024-05-17 11:00:00+09:00,0.358974358974359,39.0,2727.85009765625,2737.90073647545,2737.3425960373706
2024-05-17 12:00:00+09:00,0.38461538461538464,39.0,2726.590087890625,2734.1305202805083,2736.3185476424424
2024-05-17 13:00:00+09:00,0.3333333333333333,39.0,2726.260009765625,2731.5070167755475,2735.3605916541737
2024-05-17 14:00:00+09:00,0.23076923076923078,39.0,2725.219970703125,2729.4113347514067,2734.3948182302647
2024-05-20 09:00:00+09:00,0.5384615384615384,39.0,2751.56005859375,2736.7942426988548,2736.029603026787
2024-05-20 10:00:00+09:00,0.5384615384615384,39.0,2741.2099609375,2738.2661487784035,2736.5229704468547
2024-05-20 11:00:00+09:00,0.5128205128205128,39.0,2744.1201171875,2740.217471581436,2737.246508231678
2024-05-20 12:00:00+09:00,0.46153846153846156,39.0,2738.239990234375,2739.558311132416,2737.341125565268
2024-05-20 13:00:00+09:00,0.46153846153846156,39.0,2737.929931640625,2739.0155179684857,2737.39720233435
2024-05-20 14:00:00+09:00,0.4358974358974359,39.0,2738.469970703125,2738.8336688800323,2737.4993707504236
2024-05-21 09:00:00+09:00,0.46153846153846156,39.0,2729.0,2735.555779253355,2736.689906869431
2024-05-21 10:00:00+09:00,0.4358974358974359,39.0,2731.02001953125,2734.0438593459867,2736.149917599128
2024-05-21 11:00:00+09:00,0.38461538461538464,39.0,2728.179931640625,2732.089216777533,2735.390871317366
2024-05-21 12:00:00+09:00,0.3333333333333333,39.0,2724.199951171875,2729.459461575647,2734.325069398748
2024-05-21 13:00:00+09:00,0.38461538461538464,39.0,2724.780029296875,2727.8996508160562,2733.4160179604746
2024-05-21 14:00:00+09:00,0.28205128205128205,39.0,2720.530029296875,2725.4431103096626,2732.1887809448936
2024-05-22 09:00:00+09:00,0.23076923076923078,39.0,2719.739990234375,2723.5420702845668,2731.003181829606
2024-05-22 10:00:00+09:00,0.28205128205128205,39.0,2729.449951171875,2725.51136391367,2730.8552551002986
2024-05-22 11:00:00+09:00,0.2564102564102564,39.0,2726.389892578125,2725.8042068018217,2730.429982479139
2024-05-22 12:00:00+09:00,0.3076923076923077,39.0,2728.169921875,2726.5927784928813,2730.2147386120782
2024-05-22 13:00:00+09:00,0.3076923076923077,39.0,2724.610107421875,2725.9318881358795,2729.6809642130115
2024-05-22 14:00:00+09:00,0.3333333333333333,39.0,2727.64990234375,2726.504559538503,2729.4875297492727
2024-05-23 09:00:00+09:00,0.2564102564102564,39.0,2712.85009765625,2721.9530722444188,2727.90301240708
2024-05-23 10:00:00+09:00,0.3076923076923077,39.0,2715.969970703125,2719.9587050639875,2726.7665322447983
