market,month,ticker,momentum63,rank,universe_count,eligible
KR,2025-01-01,445290.KS,-0.04169950266791045,4,9,False
KR,2025-01-01,102970.KS,-0.045338480216965515,5,9,False
KR,2025-01-01,091180.KS,-0.06670139498287386,6,9,False
KR,2025-01-01,140700.KS,-0.07111336562838233,7,9,False
KR,2025-01-01,091160.KS,-0.09620487153452717,8,9,False
KR,2025-01-01,117700.KS,-0.13906253281809755,9,9,False
KR,2025-02-01,445290.KS,0.18782745415871127,1,9,True
KR,2025-02-01,140710.KS,0.06763289298225184,2,9,True
KR,2025-02-01,091180.KS,0.014578815270559708,3,9,True
KR,2025-02-01,117680.KS,0.0016358288296747237,4,9,True
KR,2025-02-01,117700.KS,-0.00830562012493996,5,9,False
KR,2025-02-01,091160.KS,-0.01231005456198353,6,9,False
KR,2025-02-01,102970.KS,-0.01251568666767744,7,9,False
KR,2025-02-01,091170.KS,-0.023789541168591666,8,9,False
KR,2025-02-01,140700.KS,-0.07911543616032524,9,9,False
KR,2025-03-01,445290.KS,0.13071123156158992,1,9,True
KR,2025-03-01,117680.KS,0.11366248925828693,2,9,True
KR,2025-03-01,091160.KS,0.11166734242441345,3,9,True
KR,2025-03-01,117700.KS,0.04459707659862899,4,9,True
KR,2025-03-01,140710.KS,0.04207443597891958,5,9,True
KR,2025-03-01,102970.KS,0.04163950579518927,6,9,False
KR,2025-03-01,091180.KS,-0.018280977985951852,7,9,False
KR,2025-03-01,091170.KS,-0.04603072384925666,8,9,False
KR,2025-03-01,140700.KS,-0.09243713770985218,9,9,False
KR,2025-04-01,445290.KS,0.1342139250672325,1,9,True
KR,2025-04-01,117700.KS,0.10951521780106854,2,9,True
KR,2025-04-01,091160.KS,0.09788601510423911,3,9,True
KR,2025-04-01,117680.KS,0.07382556675969854,4,9,True
KR,2025-04-01,102970.KS,0.07338229267789131,5,9,True
KR,2025-04-01,091170.KS,0.02638637550111289,6,9,False
KR,2025-04-01,091180.KS,0.025569882717659143,7,9,False
KR,2025-04-01,140710.KS,0.019211246555201233,8,9,False
KR,2025-04-01,140700.KS,-0.042575865467606167,9,9,False
KR,2025-05-01,102970.KS,0.1850248479549459,1,9,True
KR,2025-05-01,117700.KS,0.10363250528259704,2,9,True
KR,2025-05-01,091170.KS,0.06618998334739468,3,9,True
KR,2025-05-01,140700.KS,0.05695279974097667,4,9,True
KR,2025-05-01,117680.KS,0.020835951045965473,5,9,True
KR,2025-05-01,091180.KS,-0.013154925082782154,6,9,False
KR,2025-05-01,445290.KS,-0.020903049576023514,7,9,False
KR,2025-05-01,140710.KS,-0.1001319405178287,8,9,False
KR,2025-05-01,091160.KS,-0.13741578545901645,9,9,False
KR,2025-06-01,102970.KS,0.3818276363189055,1,9,True
KR,2025-06-01,117700.KS,0.2354562188208582,2,9,True
KR,2025-06-01,091170.KS,0.16300792666132113,3,9,True
KR,2025-06-01,140700.KS,0.10585053711304293,4,9,True
KR,2025-06-01,140710.KS,0.06346612722266287,5,9,True
KR,2025-06-01,117680.KS,-0.015348029862077173,6,9,False
KR,2025-06-01,445290.KS,-0.03842378366443777,7,9,False
KR,2025-06-01,091180.KS,-0.04192323984576307,8,9,False
KR,2025-06-01,091160.KS,-0.08326316739567019,9,9,False
KR,2025-07-01,102970.KS,0.7350756694424607,1,9,True
KR,2025-07-01,117700.KS,0.42924549266826584,2,9,True
KR,2025-07-01,091170.KS,0.3237755476556501,3,9,True
KR,2025-07-01,140700.KS,0.31469747313387453,4,9,True
KR,2025-07-01,445290.KS,0.22766619135302135,5,9,True
KR,2025-07-01,140710.KS,0.12588473200363648,6,9,False
KR,2025-07-01,091160.KS,0.10869970223042302,7,9,False
KR,2025-07-01,117680.KS,0.09124498795053126,8,9,False
KR,2025-07-01,091180.KS,-0.045687237037524975,9,9,False
KR,2025-08-01,102970.KS,0.6187750565483956,1,9,True
KR,2025-08-01,117680.KS,0.392754662762018,2,9,True
KR,2025-08-01,091170.KS,0.36465786061117433,3,9,True
KR,2025-08-01,140700.KS,0.35270544618132815,4,9,True
KR,2025-08-01,117700.KS,0.29408144350961396,5,9,True
KR,2025-08-01,091160.KS,0.2729396528083319,6,9,False
KR,2025-08-01,140710.KS,0.2247657706680679,7,9,False
KR,2025-08-01,445290.KS,0.22305312778873465,8,9,False
KR,2025-08-01,091180.KS,0.11493454933864067,9,9,False
KR,2025-09-01,140700.KS,0.2268993422255734,1,9,True
KR,2025-09-01,091160.KS,0.18969886875178532,2,9,True
KR,2025-09-01,117680.KS,0.17716127031756668,3,9,True
KR,2025-09-01,102970.KS,0.1728339813026396,4,9,True
KR,2025-09-01,091170.KS,0.16087732769670526,5,9,True
KR,2025-09-01,445290.KS,0.15155710917379905,6,9,False
KR,2025-09-01,091180.KS,0.1330691890858342,7,9,False
KR,2025-09-01,140710.KS,0.030405465635594986,8,9,False
KR,2025-09-01,117700.KS,0.02015110609590498,9,9,False
KR,2025-10-01,091160.KS,0.2695759846064696,1,9,True
KR,2025-10-01,445290.KS,0.1342220958209961,2,9,True
KR,2025-10-01,140700.KS,0.09142862907541227,3,9,True
KR,2025-10-01,091170.KS,0.052398805897513556,4,9,True
KR,2025-10-01,102970.KS,0.0167333704330197,5,9,True
KR,2025-10-01,117680.KS,0.012522370422195728,6,9,False
KR,2025-10-01,091180.KS,-0.0010472120177414945,7,9,False
KR,2025-10-01,140710.KS,-0.01959115360571384,8,9,False
KR,2025-10-01,117700.KS,-0.1139535605768407,9,9,False
KR,2025-11-01,091160.KS,0.5968465418653115,1,9,True
KR,2025-11-01,445290.KS,0.4176524499600527,2,9,True
KR,2025-11-01,102970.KS,0.21568634526667396,3,9,True
KR,2025-11-01,091180.KS,0.11936935135087556,4,9,True
KR,2025-11-01,140700.KS,0.056238991160660445,5,9,True
KR,2025-11-01,091170.KS,0.027457460830139224,6,9,False
KR,2025-11-01,117700.KS,-0.006090096626559793,7,9,False
KR,2025-11-01,140710.KS,-0.007544000829264208,8,9,False
KR,2025-11-01,117680.KS,-0.09880053520653065,9,9,False
